analysis_rank,rank,param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,confirm_enabled_candidate,confirm_ema_period_candidate,confirm_min_distance_candidate,confirm_mode_candidate,assets_with_real_4h,assets_with_daily_fallback,total_trades_candidate,win_rate_candidate,expectancy_candidate,total_profit_candidate,total_return_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
1,1,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"1D, 4H->1D",68,45,0.6029411764705882,2.107843137254902,143.33333333333334,0.0286666666666666,5143.333333333346,5207.538933646211,89.85605514864255,1.7254994402072996,False,8.139534883720934,True,4,1,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.008,close_above_ema,4,6,102,0.2941176470588235,857.3038272311308,87444.99037757533,8.744499037757533,1.0,1.0,1.0,1.0,100.0,1.2745005597927004,11.860465116279066,0.602941,2.107843,1.725499,8.139535,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=15 | 4h_dist=0.008,2,True,True,True,True,Best overall balance in the survivor pool. Highest expectancy of all survivors. Highest win rate of all survivors. Tightest trailing drawdown control. Safest consistency profile. Uses a 4H confirmation filter with EMA 15 and minimum distance 0.008. Belongs to the highest-edge AVAX parameter family.
2,2,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,"1D, 4H->1D",72,48,0.5972222222222222,1.9675925925925928,141.66666666666669,0.0283333333333333,5141.66666666668,5205.872266979545,89.85605514864255,1.7280104656168114,False,8.235294117647063,True,4,2,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,20,0.008,close_above_ema,4,6,105,0.2761904761904762,812.6617001705555,85329.47851790833,8.532947851790833,0.8800699503162113,0.9444444444444446,0.9945876721094082,0.9918485217276446,94.14228324891957,1.2719895343831886,11.764705882352937,0.597222,1.967593,1.72801,8.235294,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=20 | 4h_dist=0.008,2,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.008. Belongs to the highest-edge AVAX parameter family.
3,10,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,"1D, 4H->1D",76,51,0.5921052631578947,1.8421052631578945,139.99999999999997,0.0279999999999999,5140.000000000014,5218.551147765586,94.2016026013498,1.805129430257359,False,8.33333333333334,True,4,10,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.0,close_above_ema,4,6,117,0.282051282051282,741.2051088955084,86720.99774077447,8.672099774077447,0.7727641163886102,0.8947368421052629,0.8283634986556012,0.9835029606392806,85.65249431213059,1.194870569742641,11.66666666666666,0.592105,1.842105,1.805129,8.333333,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=15 | 4h_dist=0.000,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.000. Belongs to the highest-edge AVAX parameter family.
4,7,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"1D, 4H->1D",73,49,0.589041095890411,1.8036529680365296,131.66666666666666,0.0263333333333333,5131.66666666668,5215.872266979545,92.90873253852988,1.781269321465426,False,8.86075949367089,True,4,7,2,8,cand_008_AVAX_USDT,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,15,0.008,close_above_ema,4,6,108,0.2685185185185185,758.7959753440292,81949.96533715515,8.194996533715516,0.7398830628749528,0.8649706457925641,0.8797921826497801,0.9386059547841586,83.88813609411623,1.218730678534574,11.13924050632911,0.589041,1.803653,1.781269,8.860759,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=15 | 4h_dist=0.008,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.008. Belongs to the highest-edge AVAX parameter family.
5,4,cand_002_AVAX_USDT__4h_ema15_dist0.004,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.004,"1D, 4H->1D",73,49,0.589041095890411,1.8036529680365296,131.66666666666666,0.0263333333333333,5131.66666666668,5210.217814432252,94.2016026013498,1.8080165927115808,False,8.860759493670892,True,4,4,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.004,close_above_ema,4,6,111,0.2882882882882883,779.5160451460627,86526.28101121295,8.652628101121294,0.7398830628749528,0.8649706457925641,0.8221404354335162,0.9386059547841584,82.73510114979095,1.1919834072884192,11.139240506329108,0.589041,1.803653,1.808017,8.860759,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=15 | 4h_dist=0.004,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.004. Belongs to the highest-edge AVAX parameter family.
6,3,cand_002_AVAX_USDT__4h_ema25_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,25,0.008,"1D, 4H->1D",73,49,0.589041095890411,1.8036529680365296,131.66666666666669,0.0263333333333333,5131.66666666668,5195.872266979545,94.8438121737172,1.8517202350057007,False,8.86075949367089,True,4,3,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,25,0.008,close_above_ema,4,6,108,0.2685185185185185,787.4027317666893,85039.49503080244,8.503949503080245,0.7398830628749528,0.8649706457925641,0.7279404957543295,0.9386059547841586,80.8511023562072,1.1482797649942993,11.13924050632911,0.589041,1.803653,1.85172,8.860759,3,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=25 | 4h_dist=0.008,2,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 25 and minimum distance 0.008. Belongs to the highest-edge AVAX parameter family.
7,5,cand_002_AVAX_USDT__4h_ema30_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,30,0.008,"1D, 4H->1D",73,49,0.589041095890411,1.8036529680365296,131.66666666666669,0.0263333333333333,5131.66666666668,5185.872266979545,94.8438121737172,1.8517202350057007,False,8.86075949367089,True,4,5,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,30,0.008,close_above_ema,4,6,109,0.2660550458715596,778.6488133821596,84872.7206586554,8.48727206586554,0.7398830628749528,0.8649706457925641,0.7279404957543295,0.9386059547841586,80.8511023562072,1.1482797649942993,11.13924050632911,0.589041,1.803653,1.85172,8.860759,3,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=30 | 4h_dist=0.008,2,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 30 and minimum distance 0.008. Belongs to the highest-edge AVAX parameter family.
8,14,cand_002_AVAX_USDT__4h_ema30_dist0.004,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,30,0.004,"1D, 4H->1D",73,49,0.589041095890411,1.8036529680365296,131.66666666666669,0.0263333333333333,5131.66666666668,5195.872266979545,94.8438121737172,1.8517202350057007,False,8.86075949367089,True,4,14,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,30,0.004,close_above_ema,4,6,119,0.2605042016806723,722.986666452146,86035.41330780537,8.603541330780537,0.7398830628749528,0.8649706457925641,0.7279404957543295,0.9386059547841586,80.8511023562072,1.1482797649942993,11.13924050632911,0.589041,1.803653,1.85172,8.860759,3,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=30 | 4h_dist=0.004,2,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 30 and minimum distance 0.004. Belongs to the highest-edge AVAX parameter family.
9,15,cand_002_AVAX_USDT__4h_ema25_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,25,0.0,"1D, 4H->1D",77,52,0.5844155844155844,1.6883116883116882,130.0,0.026,5130.000000000014,5208.551147765586,94.8438121737172,1.8517202350057007,False,8.97435897435898,True,4,15,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,25,0.0,close_above_ema,4,6,120,0.2583333333333333,712.4540233758356,85494.48280510027,8.549448280510028,0.6412532469173864,0.8200371057513914,0.7279404957543295,0.9289358304461323,76.08231780990255,1.1482797649942993,11.02564102564102,0.584416,1.688312,1.85172,8.974359,1,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=25 | 4h_dist=0.000,2,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.000. Belongs to the highest-edge AVAX parameter family.
10,9,cand_002_AVAX_USDT__4h_ema25_dist0.004,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,25,0.004,"1D, 4H->1D",74,50,0.581081081081081,1.644144144144145,121.6666666666667,0.0243333333333333,5121.66666666668,5185.872266979545,94.8438121737172,1.8517202350057007,False,9.589041095890414,True,4,9,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,25,0.004,close_above_ema,4,6,116,0.2672413793103448,744.0124642935814,86305.44585805543,8.630544585805543,0.6034850102294049,0.7876447876447874,0.7279404957543295,0.8766111850554423,72.9041286653443,1.1482797649942993,10.410958904109586,0.581081,1.644144,1.85172,9.589041,3,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=25 | 4h_dist=0.004,2,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 25 and minimum distance 0.004. Belongs to the highest-edge AVAX parameter family.
11,6,cand_002_AVAX_USDT__4h_ema20_dist0.004,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.004,"1D, 4H->1D",74,50,0.581081081081081,1.6441441441441444,121.66666666666669,0.0243333333333333,5121.66666666668,5200.217814432252,94.8438121737172,1.8517202350057007,False,9.589041095890414,True,4,6,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,20,0.004,close_above_ema,4,6,113,0.2831858407079646,766.2132246905911,86582.0943900368,8.65820943900368,0.6034850102294046,0.7876447876447874,0.7279404957543295,0.8766111850554423,72.90412866534427,1.1482797649942993,10.410958904109586,0.581081,1.644144,1.85172,9.589041,3,AVAX/USDT | fib=0.436 | rw_lb=21 | 4h_ema=20 | 4h_dist=0.004,2,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 20 and minimum distance 0.004. Belongs to the highest-edge AVAX parameter family.
