rank,param_id,pair_family,long_param_id,long_source_symbol,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,short_param_id,short_source_symbol,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,signal_conflicts,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit
11,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",131,84,0.6259541984732825,2.710105416612176,355.02380957619505,0.07100476191523901,5355.023809576218,5364.567509369489,95.82613143602248,1.7886290678493721,False,3.2861645760022693,True,4,0,48,83,33,51,59.999999999999986,295.0238095761951
1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",124,79,0.6290322580645161,2.8093317976574874,348.3571429095284,0.06967142858190568,5348.35714290955,5357.900842702821,95.82613143602248,1.7908575343398767,False,3.3490533793063673,True,4,0,41,83,28,51,53.33333333333336,295.0238095761951
6,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",129,83,0.6201550387596899,2.61000369180513,336.69047624286173,0.06733809524857234,5336.690476242884,5346.234176036155,95.82613143602248,1.794770741624464,False,3.465101477432723,True,4,0,45,84,31,52,51.6666666666667,285.023809576195
16,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",126,81,0.6190476190476191,2.606009070710543,328.3571429095284,0.06567142858190568,5328.35714290955,5341.329141775871,96.46339929724127,1.805981184398035,False,3.5530418383135838,True,4,0,43,83,30,51,33.33333333333334,295.0238095761951
13,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",119,77,0.6218487394957983,2.672049769214279,317.9739225364992,0.06359478450729983,5317.97392253652,5329.575988113611,93.94622230308141,1.7734773956974388,False,3.669063982857744,True,4,0,48,71,33,44,59.999999999999986,257.97392253649906
3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",112,72,0.625,2.779529070266362,311.30725586983255,0.06226145117396651,5311.307255869852,5322.909321446943,93.94622230308141,1.7757121389810941,False,3.747637244775585,True,4,0,41,71,28,44,53.33333333333336,257.97392253649906
21,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",119,77,0.6134453781512605,2.579622082372245,306.9750278022972,0.06139500556045944,5306.975027802318,5315.656790221579,86.93391065957894,1.6590867594216165,False,3.8005263001980802,True,4,0,42,77,29,48,50.331446189441245,256.64358161285577
8,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",117,76,0.6153846153846154,2.5610306769501356,299.64058920316586,0.05992811784063317,5299.640589203186,5311.242654780277,93.94622230308141,1.77963652158321,False,3.8935535061160564,True,4,0,45,72,31,45,51.6666666666667,247.97392253649906
18,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",114,74,0.6140350877192983,2.555326805875724,291.30725586983255,0.05826145117396651,5291.307255869852,5303.354101534005,93.94622230308141,1.7757121389810941,False,4.004935143764421,True,4,0,43,71,30,44,33.33333333333334,257.97392253649906
14,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",111,73,0.6216216216216216,2.604018935264624,289.04610181437323,0.05780922036287465,5289.046101814393,5308.187986344469,93.94622230308141,1.7745940637874422,False,4.036265008742122,True,4,0,48,63,33,40,59.999999999999986,229.04610181437317
