evaluation_index,first_seen_stage,portfolio_size,portfolio_param_ids,priority_1_param_id,priority_2_param_id,priority_3_param_id,priority_4_param_id,priority_5_param_id,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,duplicate_pair_family_count,duplicate_long_symbol_count,duplicate_short_symbol_count,duplicate_long_param_count,duplicate_short_param_count,diversity_penalty,penalized_expectancy
110,size_4_seed_02_ordering_01_one_swap,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,140,96,0.4928571428571429,0.4623163138978076,64.72428394569306,0.012944856789138611,5064.724283945693,5220.3152388617,156.61789131965543,3.000161564070722,True,17.61367069198592,False,4,37,105,44,0,1,8,24,75,65,49,47,103.04085147666345,-38.31656753096609,2023-06-16 00:00,2026-03-31 08:00,34,1,10,44,52,0,0.4583333333333333,0.6742112911010137,12.625511286404139,-9.438427166463168,1.131875549414544,11.779513888888888,7.0,17.883917745221282,-12.59487927510798,8,9,1.0,0.004617647968184313,0.2334587426939989,0.18815587695719396,0.1539133099858439,33,9,7,0.2727272727272727,1.2865074847652203,-1.2012021808715079,-290.29952563050205,0.0,2.0,2.0,2.0,0.0,2.0,0.9,-0.43768368610219244
183,size_5_seed_01_ordering,5,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5128205128205128,0.8109839560895755,63.25674857498689,0.012651349714997377,5063.256748574987,5219.867025617903,156.6102770429161,3.000273307237694,True,17.864462785928943,False,4,22,87,26,0,1,3,24,52,26,33,18,68.95033567724651,-5.6935871022580375,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.2403284034311484,11.231731428703277,-10.0,1.2635697857291186,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004513369980968074,0.2880516354692081,0.18582265948455406,0.15043196131766626,33,7,3,0.21212121212121213,1.375339486384708,-1.140911795811228,-291.7670610012082,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.28901604391042457
184,size_5_seed_01_ordering,5,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,baseline,5,10,78,51,0.5128205128205128,0.8109839560895755,63.25674857498689,0.012651349714997377,5063.256748574987,5219.867025617903,156.6102770429161,3.000273307237694,True,17.864462785928943,False,4,22,87,26,0,2,3,24,52,26,33,18,68.95033567724651,-5.6935871022580375,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.2403284034311484,11.231731428703277,-10.0,1.2635697857291186,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004513369980968074,0.2880516354692081,0.18582265948455406,0.15043196131766626,33,7,3,0.21212121212121213,1.375339486384708,-1.140911795811228,-291.7670610012082,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.28901604391042457
187,size_5_seed_01_ordering,5,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,baseline,5,10,78,51,0.5128205128205128,0.8109839560895755,63.25674857498689,0.012651349714997377,5063.256748574987,5219.867025617903,156.6102770429161,3.000273307237694,True,17.864462785928943,False,4,23,86,26,0,2,3,24,52,26,33,18,68.95033567724651,-5.6935871022580375,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.2403284034311484,11.231731428703277,-10.0,1.2635697857291186,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004513369980968074,0.2880516354692081,0.18582265948455406,0.15043196131766626,33,7,3,0.21212121212121213,1.375339486384708,-1.140911795811228,-291.7670610012082,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.28901604391042457
264,size_5_seed_01_ordering_01_one_swap,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,81,53,0.5061728395061729,0.7741111763707859,62.70300528603366,0.01254060105720673,5062.703005286034,5219.31328232895,156.6102770429161,3.000591621375788,True,17.997166135173277,False,4,21,92,29,0,0,4,25,54,27,34,19,75.0467325845929,-12.343727298559076,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,25,0,0.5283018867924528,1.183075571434602,11.038837473782321,-9.855377759194845,1.254492549420679,12.097484276729562,6.166666666666667,17.689629246406085,-10.000000000000002,13,8,1.0,0.00447401785768875,0.2740367132649033,0.17477054031794753,0.14910452411506062,33,7,3,0.21212121212121213,1.7902308788958265,-1.1410347515489638,-292.32080429016145,0.0,3.0,4.0,3.0,2.0,1.0,1.4500000000000002,-0.6758888236292143
142,size_5_seed_01_ordering,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5128205128205128,0.783266648904035,61.09479861451473,0.012218959722902946,5061.094798614515,5217.705075657431,156.6102770429161,3.001516466953303,True,18.49662911579257,False,4,21,86,26,0,1,4,23,52,26,33,18,70.78897303350185,-9.694174418984874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.1979372277356282,11.151659207945075,-10.0,1.2545616608938208,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004359713951345379,0.2792142085497491,0.17958764963741353,0.14525037591317022,33,7,3,0.21212121212121213,1.4038808569933448,-1.14139199554264,-293.9290109616804,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.3167333510959651
141,size_5_seed_01_ordering,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5128205128205128,0.783266648904035,61.09479861451473,0.012218959722902946,5061.094798614515,5217.705075657431,156.6102770429161,3.001516466953303,True,18.49662911579257,False,4,21,86,26,0,2,4,23,52,26,33,18,70.78897303350185,-9.694174418984874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.1979372277356282,11.151659207945075,-10.0,1.2545616608938208,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004359713951345379,0.2792142085497491,0.17958764963741353,0.14525037591317022,33,7,3,0.21212121212121213,1.4038808569933448,-1.14139199554264,-293.9290109616804,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.3167333510959651
145,size_5_seed_01_ordering,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5128205128205128,0.783266648904035,61.09479861451473,0.012218959722902946,5061.094798614515,5217.705075657431,156.6102770429161,3.001516466953303,True,18.49662911579257,False,4,22,86,26,0,1,4,23,52,26,33,18,70.78897303350185,-9.694174418984874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.1979372277356282,11.151659207945075,-10.0,1.2545616608938208,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004359713951345379,0.2792142085497491,0.17958764963741353,0.14525037591317022,33,7,3,0.21212121212121213,1.4038808569933448,-1.14139199554264,-293.9290109616804,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.3167333510959651
146,size_5_seed_01_ordering,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,baseline,5,10,78,51,0.5128205128205128,0.783266648904035,61.09479861451473,0.012218959722902946,5061.094798614515,5217.705075657431,156.6102770429161,3.001516466953303,True,18.49662911579257,False,4,22,86,26,0,2,4,23,52,26,33,18,70.78897303350185,-9.694174418984874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.1979372277356282,11.151659207945075,-10.0,1.2545616608938208,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004359713951345379,0.2792142085497491,0.17958764963741353,0.14525037591317022,33,7,3,0.21212121212121213,1.4038808569933448,-1.14139199554264,-293.9290109616804,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.3167333510959651
143,size_5_seed_01_ordering,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5128205128205128,0.783266648904035,61.09479861451473,0.012218959722902946,5061.094798614515,5217.705075657431,156.6102770429161,3.001516466953303,True,18.49662911579257,False,4,22,86,26,0,2,4,23,52,26,33,18,70.78897303350185,-9.694174418984874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,1.1979372277356282,11.151659207945075,-10.0,1.2545616608938208,12.526143790849673,6.166666666666667,17.716381955425653,-10.000000000000002,10,8,1.0,0.004359713951345379,0.2792142085497491,0.17958764963741353,0.14525037591317022,33,7,3,0.21212121212121213,1.4038808569933448,-1.14139199554264,-293.9290109616804,0.0,2.0,3.0,3.0,1.0,1.0,1.1,-0.3167333510959651
