rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
1,short_cand_068_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.0,"1D, 4H->1D",29,19,0.5517241379310345,1.6091954022988508,46.66666666666667,0.009333333333333334,5046.6666666666715,5069.891266260886,75.88313941934939,1.5053702698738969,False,25.0,False,4
2,short_cand_068_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,20,0.0,"1D, 4H->1D",40,26,0.55,1.6666666666666667,66.66666666666667,0.013333333333333334,5066.666666666673,5090.940296978186,84.41921873837327,1.658224489265406,False,17.500000000000004,True,4
3,short_cand_068_DOGE_USDT__4h_ema15_dist0.004,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.004,"1D, 4H->1D",24,15,0.5833333333333334,2.4305555555555554,58.33333333333333,0.011666666666666665,5058.333333333338,5075.564006760168,48.60274468872558,0.9684453028442788,False,20.000000000000004,False,3
4,short_cand_068_DOGE_USDT__4h_ema15_dist0.008,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.008,"1D, 4H->1D",15,10,0.6,2.000000000000001,30.000000000000014,0.006000000000000003,5030.000000000003,5036.872528393946,48.60274468872558,0.9684453028442788,False,38.88888888888887,False,2
5,short_cand_062_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",51,33,0.5882352941176471,2.1553115814219654,109.92089065252024,0.02198417813050405,5109.920890652527,5116.388291183858,89.6565954031048,1.7639359509945047,False,10.613693718646356,True,4
6,short_cand_071_DOGE_USDT__4h_ema15_dist0.008,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,15,0.008,"1D, 4H->1D",54,37,0.5555555555555556,1.3461450328532631,72.6918317740762,0.014538366354815242,5072.691831774085,5090.240564378611,81.41540000449731,1.6073848775138795,False,16.04948779241976,True,4
7,short_cand_079_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",48,34,0.5833333333333334,1.5561148434634722,74.69351248624666,0.014938702497249332,5074.693512486254,5130.495663351946,105.3039966100223,2.052511170845104,False,15.61938417183802,True,4
8,short_cand_067_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",58,37,0.603448275862069,2.4699004135491993,143.25422398585357,0.028650844797170713,5143.254223985862,5149.721624517193,89.6565954031048,1.755302339358522,False,8.144029782897542,True,4
9,short_cand_071_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,20,0.004,"1D, 4H->1D",68,45,0.5882352941176471,2.0964111733781117,142.5559597897116,0.02851119195794232,5142.555959789723,5159.2180970444015,111.61752750761298,2.1858284661087515,False,8.18392067499423,True,4
10,short_cand_061_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",50,32,0.6,2.398417813050405,119.92089065252024,0.023984178130504047,5119.920890652527,5126.388291183858,89.6565954031048,1.7604723347062021,False,9.728635772454117,True,4
11,short_cand_071_DOGE_USDT__4h_ema25_dist0.000,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.0,"1D, 4H->1D",76,50,0.6052631578947368,2.253316782774101,171.2520754908317,0.034250415098166336,5171.252075490845,5176.922094997122,100.82779180351281,1.9793592784706098,False,6.812569502137957,True,4
12,short_cand_071_DOGE_USDT__4h_ema20_dist0.008,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,20,0.008,"1D, 4H->1D",65,43,0.6,2.195258950370403,142.6918317740762,0.028538366354815242,5142.691831774087,5162.5514303777345,81.41540000449731,1.6021131222019198,False,8.176127898574101,True,4
13,short_cand_071_DOGE_USDT__4h_ema25_dist0.004,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.004,"1D, 4H->1D",74,49,0.581081081081081,1.9088118309571849,141.2520754908317,0.028250415098166337,5141.252075490844,5146.922094997121,111.61752750761298,2.191550810084138,False,8.259465658204734,True,4
14,short_cand_071_DOGE_USDT__4h_ema30_dist0.004,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,30,0.004,"1D, 4H->1D",74,49,0.581081081081081,1.9088118309571849,141.2520754908317,0.028250415098166337,5141.252075490844,5146.922094997121,111.61752750761298,2.191550810084138,False,8.259465658204734,True,4
15,short_cand_071_DOGE_USDT__4h_ema30_dist0.000,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,30,0.0,"1D, 4H->1D",76,50,0.5921052631578947,2.0998080108442765,159.585408824165,0.031917081764833,5159.585408824178,5165.255428330455,111.61752750761298,2.191550810084138,False,7.310609881334002,True,4
16,short_cand_067_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.0,"1D, 4H->1D",52,33,0.6153846153846154,2.65873507665103,138.25422398585357,0.027650844797170716,5138.254223985861,5144.721624517192,89.6565954031048,1.754157572530225,False,8.438560740003448,True,4
17,short_cand_062_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.0,"1D, 4H->1D",45,29,0.6,2.331575347833783,104.92089065252024,0.020984178130504048,5104.920890652526,5111.388291183857,89.6565954031048,1.762779898903603,False,11.119488782557749,True,4
18,short_cand_079_ETH_USDT__4h_ema15_dist0.008,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,15,0.008,"1D, 4H->1D",29,20,0.5517241379310345,1.3524777127019458,39.22185366835643,0.007844370733671287,5039.221853668361,5077.7752987495205,64.11360640049952,1.2627415400710873,False,29.745321996545886,False,3
19,short_cand_071_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,20,0.0,"1D, 4H->1D",74,49,0.6081081081081081,2.2232291493626155,164.51895705283354,0.03290379141056671,5164.5189570528455,5170.565535460045,100.82779180351281,1.9819531382676316,False,7.09138136763172,True,4
20,short_cand_079_ETH_USDT__4h_ema15_dist0.004,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,15,0.004,"1D, 4H->1D",36,26,0.5277777777777778,0.7322057323580962,26.359406364891463,0.005271881272978293,5026.359406364897,5077.3821618275715,76.59602570763218,1.5085731833126763,False,44.259974997789385,False,4
21,short_cand_071_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,15,0.0,"1D, 4H->1D",66,44,0.5909090909090909,2.0589286836824994,135.88929312304495,0.02717785862460899,5135.889293123056,5139.73328616635,100.78069349386897,1.9842961178516971,False,8.585420086115795,True,4
22,short_cand_079_ETH_USDT__4h_ema20_dist0.004,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,20,0.004,"1D, 4H->1D",50,36,0.54,0.8605369163916001,43.026845819580004,0.008605369163916,5043.026845819587,5071.575442901228,68.050442825971,1.341800858374736,False,27.11485456216635,False,4
23,short_cand_071_DOGE_USDT__4h_ema15_dist0.004,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,15,0.004,"1D, 4H->1D",60,40,0.5833333333333334,1.933752751790159,116.02516510740953,0.023205033021481906,5116.0251651074195,5120.079014059954,81.41540000449731,1.6079139618121032,False,10.055289863941438,True,4
24,short_cand_079_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",61,42,0.6065573770491803,1.939724203541562,118.32317641603528,0.023664635283207055,5118.323176416045,5134.908776234563,68.050442825971,1.3252512516078718,False,9.860001244088973,True,4
25,short_cand_071_DOGE_USDT__4h_ema25_dist0.008,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.008,"1D, 4H->1D",72,47,0.5972222222222222,2.239612159594884,161.25207549083166,0.032250415098166334,5161.252075490844,5166.922094997121,81.7186352081053,1.6076265305007906,False,7.235048994659299,True,4
26,short_cand_061_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.0,"1D, 4H->1D",44,28,0.6136363636363636,2.6118384239209145,114.92089065252024,0.02298417813050405,5114.920890652526,5121.388291183857,89.6565954031048,1.7593208166605308,False,10.15191111069832,True,4
27,short_cand_068_DOGE_USDT__4h_ema25_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,25,0.0,"1D, 4H->1D",40,26,0.525,1.3750000000000004,55.000000000000014,0.011000000000000003,5055.000000000006,5097.606963644853,84.41921873837327,1.6560558579826734,False,21.21212121212121,False,4
28,short_cand_071_DOGE_USDT__4h_ema30_dist0.008,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,30,0.008,"1D, 4H->1D",72,47,0.5972222222222222,2.2396121595948846,161.2520754908317,0.03225041509816634,5161.252075490844,5166.922094997121,101.61752750761298,1.991296322220439,False,7.235048994659297,True,4
29,short_cand_068_DOGE_USDT__4h_ema30_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,30,0.0,"1D, 4H->1D",46,29,0.5869565217391305,2.2705728380856,104.4463505519376,0.02088927011038752,5104.446350551945,5109.729061011299,84.41921873837327,1.6560558579826734,False,11.170008913681704,True,4
30,short_cand_068_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,20,0.004,"1D, 4H->1D",32,21,0.53125,1.3541666666666667,43.333333333333336,0.008666666666666668,5043.3333333333385,5075.940296978185,84.41921873837327,1.6631247374723817,False,26.923076923076927,False,4
31,short_cand_079_ETH_USDT__4h_ema25_dist0.004,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,25,0.004,"1D, 4H->1D",57,40,0.543859649122807,1.0243794418836272,58.389628187366746,0.011677925637473349,5058.389628187375,5074.908776234562,71.94710319646583,1.4210238572872993,False,19.98071751583937,True,4
32,short_cand_079_ETH_USDT__4h_ema25_dist0.000,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,25,0.0,"1D, 4H->1D",63,43,0.5873015873015873,1.7998353680534405,113.38962818736675,0.02267792563747335,5113.389628187377,5129.908776234563,71.94710319646583,1.4108067719055182,False,10.28900689875135,True,4
33,short_cand_079_ETH_USDT__4h_ema30_dist0.004,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,30,0.004,"1D, 4H->1D",59,41,0.559322033898305,1.3003891783169506,76.72296152070008,0.015344592304140016,5076.722961520709,5093.242109567896,71.94710319646583,1.4158968832621646,False,15.206225666248518,True,4
34,short_cand_067_DOGE_USDT__4h_ema15_dist0.004,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.004,"1D, 4H->1D",50,32,0.62,2.6317511463837375,131.58755731918689,0.026317511463837377,5131.587557319194,5143.405125784611,89.6565954031048,1.7564486013169025,False,8.866086508747392,True,4
35,short_cand_097_LINK_USDT__4h_ema25_dist0.008,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,True,close_below_ema,25,0.008,"1D, 4H->1D",54,36,0.5925925925925926,2.191078839588449,118.31825733777625,0.02366365146755525,5118.318257337784,5134.048092427386,105.93390017624824,2.081399732194296,False,9.860411173366543,True,4
36,short_cand_075_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",62,40,0.5806451612903226,2.0954982363309718,129.92089065252026,0.025984178130504052,5129.920890652529,5136.38829118386,90.33910731884225,1.796721838674415,False,8.97982349726168,True,4
37,short_cand_074_DOGE_USDT__4h_ema30_dist0.004,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,True,close_below_ema,30,0.004,"1D, 4H->1D",76,49,0.5921052631578947,2.2456285645618146,170.6677709066979,0.03413355418133958,5170.66777090671,5193.657093128192,133.45162258983873,2.5815901374367343,False,6.835893270701181,True,4
38,short_cand_074_DOGE_USDT__4h_ema30_dist0.008,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,True,close_below_ema,30,0.008,"1D, 4H->1D",76,49,0.5921052631578947,2.2456285645618146,170.6677709066979,0.03413355418133958,5170.66777090671,5193.657093128192,133.45162258983873,2.5815901374367343,False,6.835893270701181,True,4
39,short_cand_097_LINK_USDT__4h_ema20_dist0.008,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,True,close_below_ema,20,0.008,"1D, 4H->1D",55,37,0.6,2.181544072808053,119.98492400444292,0.023996984800888584,5119.984924004451,5135.714759094053,110.68731857252624,2.1720554819361673,False,9.723443810519615,True,4
40,short_cand_068_DOGE_USDT__4h_ema25_dist0.008,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,25,0.008,"1D, 4H->1D",31,20,0.5161290322580645,1.3440860215053771,41.66666666666669,0.008333333333333338,5041.6666666666715,5072.606963644852,64.41921873837327,1.269943033238391,False,27.999999999999993,False,3
41,short_cand_079_ETH_USDT__4h_ema30_dist0.000,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,30,0.0,"1D, 4H->1D",64,44,0.578125,1.6154629404276053,103.38962818736674,0.020677925637473348,5103.389628187377,5114.422050511,78.63612969217957,1.5475348693180695,False,11.284175087199152,True,4
42,short_cand_097_LINK_USDT__4h_ema20_dist0.004,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,True,close_below_ema,20,0.004,"1D, 4H->1D",54,37,0.5925925925925926,1.9133010618106714,103.31825733777626,0.020663651467555253,5103.318257337784,5119.048092427386,113.67737402425428,2.2323409489969115,False,11.291970042163097,True,4
43,short_cand_074_DOGE_USDT__4h_ema25_dist0.000,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,True,close_below_ema,25,0.0,"1D, 4H->1D",77,48,0.6103896103896104,2.779235120000406,214.00110424003125,0.04280022084800625,5214.001104240044,5236.990426461526,133.45162258983873,2.5601292623922274,False,5.451685264941868,True,4
44,short_cand_075_DOGE_USDT__4h_ema15_dist0.000,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,True,close_below_ema,15,0.0,"1D, 4H->1D",55,36,0.5636363636363636,1.7561374058033987,96.58755731918693,0.019317511463837384,5096.587557319194,5103.054957850525,94.75711059666901,1.8631315189175355,False,12.078850517062522,True,4
45,short_cand_068_DOGE_USDT__4h_ema30_dist0.004,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,30,0.004,"1D, 4H->1D",40,26,0.55,1.6666666666666672,66.66666666666669,0.013333333333333338,5066.666666666673,5090.940296978186,84.41921873837327,1.658224489265406,False,17.5,True,4
46,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",71,47,0.6338028169014085,2.800783117428633,198.85560133743294,0.03977112026748659,5198.8556013374455,5214.422050511002,86.93391065957894,1.688627763004398,False,5.86690371717003,True,4
47,short_cand_074_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,True,close_below_ema,20,0.0,"1D, 4H->1D",75,47,0.6133333333333333,2.764459167644861,207.3344375733646,0.041466887514672916,5207.334437573377,5230.323759794859,133.45162258983873,2.5634076813874174,False,5.626979677478064,True,4
48,short_cand_074_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,True,close_below_ema,20,0.004,"1D, 4H->1D",74,48,0.581081081081081,2.0585734807211433,152.3344375733646,0.03046688751467292,5152.334437573376,5175.323759794858,146.4882233968856,2.8319539866832257,False,7.658587810158145,True,4
49,short_cand_068_DOGE_USDT__4h_ema25_dist0.004,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,25,0.004,"1D, 4H->1D",36,24,0.5,0.8333333333333337,30.000000000000014,0.006000000000000003,5030.0000000000055,5072.606963644852,84.41921873837327,1.6642176171621823,False,38.88888888888888,False,4
50,short_cand_097_LINK_USDT__4h_ema25_dist0.004,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,True,close_below_ema,25,0.004,"1D, 4H->1D",53,36,0.5849056603773585,1.917954540964332,101.65159067110959,0.02033031813422192,5101.651590671117,5117.381425760719,104.22863890517874,2.047239708639619,False,11.477111759533397,True,4
