analysis_rank,rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,combined_rank,daily_param_id,source_symbol_candidate,side_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,confirm_enabled_candidate,confirm_mode_candidate,confirm_ema_period_candidate,confirm_min_distance_candidate,total_trades_candidate,win_rate_candidate,expectancy_candidate,total_profit_candidate,total_return_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
1,98,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",87,55,0.632183908045977,2.9313081560482197,255.02380957619508,0.051004761915239,5255.02380957621,5264.567509369481,95.82613143602248,1.826122828219074,False,4.574736251511037,True,4,98,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,123,0.3170731707317073,103.88946030968388,12778.403618091115,1.2778403618091116,1.0,0.9840571884080328,0.6704357848379529,1.0,93.01014540695986,1.173877171780926,15.425263748488963,0.632184,2.931308,1.826123,4.574736,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=20 | 4h_dist=0.000,2,True,False,False,True,Best overall balance in the survivor pool. Highest expectancy of all survivors. Safest consistency profile. Uses a 4H confirmation filter with EMA 20 and minimum distance 0.000.
2,46,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",71,47,0.6338028169014085,2.800783117428633,198.85560133743292,0.0397711202674865,5198.8556013374455,5214.422050511002,86.93391065957894,1.688627763004398,False,5.86690371717003,True,4,46,short_cand_082_ETH_USDT,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,99,0.2929292929292929,144.68282521239402,14323.599696027008,1.4323599696027007,0.9315522192046028,1.0,0.7609049896642899,0.9161255980071238,91.14493942558937,1.311372236995602,14.133096282829971,0.633803,2.800783,1.688628,5.866904,1,ETH/USDT | fib=0.486 | rw_lb=8 | 4h_ema=20 | 4h_dist=0.000,3,False,True,False,False,Highest win rate of all survivors. Uses a 4H confirmation filter with EMA 20 and minimum distance 0.000.
3,109,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",75,48,0.6266666666666667,2.9063189671533225,217.9739225364992,0.0435947845072998,5217.973922536512,5229.575988113603,92.1553707633684,1.7695810723662224,False,5.35232220942077,True,4,109,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,114,0.3070175438596491,88.70760290463163,10112.666731128003,1.0112666731128006,0.9868955830864161,0.92972408650261,0.7076392123464652,0.9495270087267866,90.92777199205484,1.2304189276337776,14.64767779057923,0.626667,2.906319,1.769581,5.352322,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=15 | 4h_dist=0.000,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.000.
4,112,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",67,44,0.6268656716417911,2.8215836091697497,189.04610181437323,0.0378092203628746,5189.046101814385,5200.493329185521,86.93391065957894,1.6804673003132566,False,6.171334163833919,True,4,112,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,100,0.29,88.36196977585078,8836.196977585078,0.8836196977585078,0.9424600688722969,0.9316838625663627,0.7662744228838011,0.8963650620541962,89.53098867344941,1.3195326996867434,13.828665836166081,0.626866,2.821584,1.680467,6.171334,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=15 | 4h_dist=0.000,4,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.000.
5,74,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",54,34,0.6296296296296297,2.8997695799849423,156.58755731918689,0.0313175114638373,5156.587557319195,5168.046980751725,89.6565954031048,1.754157572530225,False,7.450570700764829,True,4,74,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,73,0.3150684931506849,126.25675437060656,9216.74306905428,0.9216743069054278,0.9834610618482956,0.9589029745629296,0.7177875894072943,0.8133300047616816,89.0160634121431,1.245842427469775,12.549429299235172,0.62963,2.89977,1.754158,7.450571,1,DOGE/USDT | fib=0.686 | rw_lb=10 | 4h_ema=20 | 4h_dist=0.004,4,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.004.
6,89,short_cand_076_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",80,52,0.625,2.742919639950776,219.43357119606208,0.0438867142392124,5219.433571196077,5234.185067686651,86.93391065957894,1.6842656788051444,False,5.316719134212422,True,4,89,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,108,0.3055555555555556,113.29164368447574,12235.49751792338,1.2235497517923382,0.9012084118834117,0.9133109619686797,0.7637751602284177,0.951837999153004,88.68733165276484,1.3157343211948556,14.683280865787578,0.625,2.74292,1.684266,5.316719,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=20 | 4h_dist=0.000,4,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.000.
7,83,short_cand_061_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",46,29,0.6304347826086957,2.8968309562142083,133.25422398585357,0.0266508447971707,5133.25422398586,5139.721624517191,89.6565954031048,1.7593208166605308,False,8.75519463300857,True,4,83,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,72,0.3055555555555556,118.5574875051238,8536.139100368913,0.8536139100368914,0.9819200373994497,0.9668320202314948,0.7143902704557836,0.7286470553370628,87.39874833062504,1.2406791833394692,11.24480536699143,0.630435,2.896831,1.759321,8.755195,1,DOGE/USDT | fib=0.686 | rw_lb=10 | 4h_ema=20 | 4h_dist=0.004,4,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.004.
8,121,short_cand_076_ETH_USDT__4h_ema25_dist0.000,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.0,"1D, 4H->1D",78,50,0.6153846153846154,2.709356533800576,211.3298096364449,0.0422659619272889,5211.329809636459,5239.185067686651,86.93391065957894,1.6826357017680378,False,5.520596780329798,True,4,121,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.0,115,0.2956521739130435,77.88555616331662,8956.83895878141,0.8956838958781411,0.8836078031658993,0.8186198588883153,0.7648476549117867,0.938604330838124,85.46080929801258,1.3173642982319622,14.479403219670202,0.615385,2.709357,1.682636,5.520597,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=25 | 4h_dist=0.000,4,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.000.
9,132,short_cand_088_ETH_USDT__4h_ema25_dist0.000,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,25,0.0,"1D, 4H->1D",85,54,0.611764705882353,2.754582623936064,234.13952303456543,0.046827904606913,5234.13952303458,5252.518401019985,95.82613143602248,1.824384497490081,False,4.982783989418287,True,4,132,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,25,0.0,132,0.303030303030303,71.34127447141378,9417.04823022662,0.941704823022662,0.907324520943313,0.7829714436110017,0.6715795742425519,0.9735136807642326,84.23250942342668,1.175615502509919,15.017216010581713,0.611765,2.754583,1.824384,4.982784,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=25 | 4h_dist=0.000,2,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.000.
10,189,short_cand_078_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",76,50,0.618421052631579,2.55833646310608,194.43357119606208,0.0388867142392124,5194.433571196076,5209.18506768665,83.69489478828928,1.624079491371431,False,6.000335536141692,True,4,189,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,108,0.3055555555555556,33.28183029901391,3594.437672293502,0.3594437672293502,0.8044123568061456,0.848522312492641,0.8033765561778321,0.9074645580718997,83.58431258552577,1.375920508628569,13.99966446385831,0.618421,2.558336,1.624079,6.000336,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=20 | 4h_dist=0.000,4,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.000.
11,128,short_cand_088_ETH_USDT__4h_ema15_dist0.004,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.004,"1D, 4H->1D",67,43,0.6119402985074627,2.740750555919797,183.6302872466264,0.0367260574493252,5183.630287246638,5193.256250529083,92.1553707633684,1.7781169887803563,False,6.353345540976932,True,4,128,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.004,96,0.3125,75.69972221459446,7267.173332601068,0.7267173332601068,0.9000709367303728,0.7847006577849006,0.7020227375352053,0.8845507300736395,82.85146858236246,1.2218830112196437,13.646654459023068,0.61194,2.740751,1.778117,6.353346,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=15 | 4h_dist=0.004,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.004.
