rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
76,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",84,53,0.6309523809523809,3.0317040829735507,254.66314296977825,0.05093262859395565,5254.663142969794,5264.817511087219,109.32966292804576,2.1310134368667515,False,4.581215220473107,True,4
88,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",90,57,0.6111111111111112,2.7682169226062836,249.1395230345655,0.0498279046069131,5249.139523034581,5257.55860970909,120.28612933150453,2.3460971446903414,False,4.682784379035695,True,4
78,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",80,51,0.625,2.8707892871222285,229.66314296977828,0.04593262859395566,5229.663142969793,5239.817511087218,109.32966292804576,2.1337861683618153,False,5.079903773763953,True,4
82,short_cand_082_ETH_USDT,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",80,52,0.625,2.8563482039839867,228.50785631871892,0.04570157126374379,5228.5078563187335,5242.755383844337,99.61245221240551,1.944135443528459,False,5.105586676369761,True,4
74,short_cand_074_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",86,53,0.5930232558139535,2.5851175327373808,222.32010781541476,0.044464021563082955,5222.320107815429,5236.990426461527,127.50371221611749,2.449157147416301,False,5.247688471055047,True,4
75,short_cand_075_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",75,46,0.6266666666666667,2.9089989620213803,218.1749221516035,0.043634984430320704,5218.174922151616,5232.13568573304,95.50222615615075,1.8681596129114082,False,5.34739123617509,True,4
70,short_cand_070_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",74,45,0.6216216216216216,2.9257872362829302,216.50825548493685,0.04330165109698737,5216.508255484949,5230.469019066373,90.0339356294935,1.7551230955468913,False,5.3885551109982295,True,4
145,short_cand_145_XRP_USDT,XRP/USDT,short,40,20,0.236,0.436,0.038,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",104,68,0.5865384615384616,2.057593268122522,213.9896998847423,0.04279793997694846,5213.989699884759,5228.82031711699,150.27798941685705,2.904347130679091,False,5.451975806756349,True,4
63,short_cand_063_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,False,disabled,20,0.0,"1D, 4H->1D",87,54,0.5862068965517241,2.4404610093725836,212.3201078154148,0.04246402156308296,5212.320107815429,5227.096382484255,127.50371221611749,2.4546580202814132,False,5.494847749799254,True,4
73,short_cand_073_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",91,57,0.5824175824175825,2.314872979656573,210.65344114874813,0.04213068822974963,5210.653441148763,5225.429715817589,127.50371221611749,2.4554458770701495,False,5.538322375863074,True,4
61,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",63,38,0.6507936507936508,3.304363843676246,208.1749221516035,0.0416349844303207,5208.174922151614,5222.135685733038,89.6565954031048,1.7495933981647795,False,5.604261332770146,True,4
77,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",71,45,0.6197183098591549,2.882579478447581,204.66314296977825,0.04093262859395565,5204.663142969791,5214.817511087216,99.97616104879125,1.9537760681572203,False,5.700423875729026,True,4
