analysis_rank,rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,backtrader_rank,symbol,side_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,total_return_candidate,total_trades_candidate,win_rate_candidate,expectancy_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
1,61,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",63,38,0.6507936507936508,3.304363843676246,208.1749221516035,0.0416349844303207,5208.174922151614,5222.135685733038,89.6565954031048,1.7495933981647795,False,5.604261332770146,True,4,61,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,0.7123819544162521,13,0.4615384615384615,547.9861187817323,1.0,1.0,0.7341293262400088,0.9297788360761066,93.27816324632231,1.2504066018352205,14.395738667229853,0.650794,3.304364,1.749593,5.604261,1,DOGE/USDT | fib=0.686 | rw_lb=10,6,True,True,False,False,Best overall balance in the survivor pool. Highest expectancy of all survivors. Highest win rate of all survivors.
2,62,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",63,39,0.6349206349206349,2.8810834203958224,181.50825548493685,0.0363016510969873,5181.508255484947,5195.469019066371,89.6565954031048,1.755302339358522,False,6.427623159892512,True,4,62,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,0.6813810452078006,13,0.4615384615384615,524.139265544462,0.8393555553955302,0.890756302521008,0.730499893371253,0.8732638607137361,83.72162708356853,1.244697660641478,13.572376840107488,0.634921,2.881083,1.755302,6.427623,1,DOGE/USDT | fib=0.686 | rw_lb=10,6,False,False,False,False,Balanced survivor with no obvious structural warning.
3,70,short_cand_070_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",74,45,0.6216216216216216,2.9257872362829302,216.50825548493685,0.0433016510969873,5216.508255484949,5230.469019066373,90.0339356294935,1.7551230955468913,False,5.3885551109982295,True,4,70,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,0.6326442206825261,14,0.4285714285714285,451.88872905894726,0.8563216593774458,0.799227799227799,0.7306138467926276,0.9445847590705644,83.45592517616942,1.2448769044531087,14.61144488900177,0.621622,2.925787,1.755123,5.388555,1,DOGE/USDT | fib=0.686 | rw_lb=10,6,False,False,False,False,Balanced survivor with no obvious structural warning.
4,76,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",84,53,0.6309523809523809,3.0317040829735507,254.66314296977825,0.0509326285939556,5254.663142969794,5264.817511087219,109.32966292804576,2.1310134368667515,False,4.581215220473107,True,4,76,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,0.7804396116401294,13,0.6923076923076923,600.3381628000996,0.8965194858656296,0.8634453781512602,0.49164330680361235,1.0,82.79718259515079,0.8689865631332485,15.418784779526893,0.630952,3.031704,2.131013,4.581215,1,ETH/USDT | fib=0.536 | rw_lb=8,4,False,False,False,True,Safest consistency profile.
5,75,short_cand_075_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",75,46,0.6266666666666667,2.9089989620213803,218.1749221516035,0.0436349844303207,5218.174922151616,5232.13568573304,95.50222615615075,1.868159612911408,False,5.34739123617509,True,4,75,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,0.5324521503192928,12,0.4166666666666667,443.7101252660773,0.8499501315526696,0.833949579831933,0.6587514054800153,0.9474102184188319,82.72022657811871,1.131840387088592,14.65260876382491,0.626667,2.908999,1.86816,5.347391,1,DOGE/USDT | fib=0.636 | rw_lb=10,5,False,False,False,False,Balanced survivor with no obvious structural warning.
6,82,short_cand_082_ETH_USDT,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",80,52,0.625,2.8563482039839867,228.5078563187189,0.0457015712637437,5228.5078563187335,5242.755383844337,99.61245221240551,1.944135443528459,False,5.105586676369761,True,4,82,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,0.7402103937586273,13,0.6153846153846154,569.3926105835594,0.8299679842155179,0.8224789915966386,0.6104501237686532,0.9640075129371701,81.10000697157555,1.055864556471541,14.89441332363024,0.625,2.856348,1.944135,5.105587,1,ETH/USDT | fib=0.486 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
7,77,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",71,45,0.6197183098591549,2.882579478447581,204.66314296977825,0.0409326285939556,5204.663142969791,5214.817511087216,99.97616104879124,1.9537760681572205,False,5.700423875729026,True,4,77,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,0.7746473475845759,13,0.6923076923076923,595.8825750650584,0.8399233430880443,0.7861285359214104,0.604321141403006,0.9231783069198085,79.6005193725731,1.0462239318427795,14.299576124270974,0.619718,2.882579,1.953776,5.700424,1,ETH/USDT | fib=0.536 | rw_lb=8,4,False,False,False,False,Balanced survivor with no obvious structural warning.
8,78,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",80,51,0.625,2.8707892871222285,229.66314296977828,0.0459326285939556,5229.663142969793,5239.817511087218,109.32966292804576,2.133786168361816,False,5.079903773763953,True,4,78,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,0.7736226779416789,13,0.6923076923076923,595.0943676474453,0.8354487001963108,0.8224789915966386,0.48988055562385746,0.9657703692661722,78.91569779458743,0.8662138316381842,14.920096226236048,0.625,2.870789,2.133786,5.079904,1,ETH/USDT | fib=0.536 | rw_lb=8,4,False,False,False,False,Balanced survivor with no obvious structural warning.
9,67,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",68,43,0.6176470588235294,2.4976704237980907,169.84158881827017,0.033968317763654,5169.841588818281,5183.802352399705,96.65079052021792,1.89347080448619,False,6.869145977637994,True,4,67,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,0.6424198257620318,14,0.4285714285714285,458.871304115737,0.6938416962493145,0.7718734552644588,0.6426599329054539,0.8429580457672023,73.2936553237906,1.10652919551381,13.130854022362005,0.617647,2.49767,1.893471,6.869146,1,DOGE/USDT | fib=0.686 | rw_lb=10,6,False,False,False,False,Balanced survivor with no obvious structural warning.
10,88,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",90,57,0.6111111111111112,2.768216922606284,249.1395230345655,0.0498279046069131,5249.139523034581,5257.55860970909,120.28612933150453,2.3460971446903414,False,4.682784379035695,True,4,88,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,0.7794396116401294,14,0.6428571428571429,556.7425797429496,0.7965201799455298,0.7268907563025213,0.35490483775711545,0.9930283645602042,73.00913925200297,0.6539028553096586,15.317215620964305,0.611111,2.768217,2.346097,4.682784,1,ETH/USDT | fib=0.586 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
11,84,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",77,51,0.6103896103896104,2.513089043100246,193.50785631871892,0.0387015712637437,5193.507856318733,5207.755383844336,99.61245221240551,1.9504800274115723,False,6.029040313201019,True,4,84,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,0.7333934600601768,13,0.6153846153846154,564.1488154309052,0.6996934091992459,0.7219251336898393,0.6064165840101441,0.9006223063188242,72.67817547079896,1.0495199725884277,13.970959686798981,0.61039,2.513089,1.95048,6.02904,1,ETH/USDT | fib=0.486 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
