combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_ema_period,confirm_min_distance,confirm_mode,assets_with_real_4h,assets_with_daily_fallback,total_trades,win_rate,expectancy,total_profit,total_return,param_id
1,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.008,close_above_ema,4,6,102,0.29411764705882354,857.3038272311308,87444.99037757533,8.744499037757533,cand_002_AVAX_USDT__4h_ema15_dist0.008
2,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,20,0.008,close_above_ema,4,6,105,0.2761904761904762,812.6617001705555,85329.47851790833,8.532947851790833,cand_002_AVAX_USDT__4h_ema20_dist0.008
3,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,25,0.008,close_above_ema,4,6,108,0.26851851851851855,787.4027317666893,85039.49503080244,8.503949503080245,cand_002_AVAX_USDT__4h_ema25_dist0.008
4,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.004,close_above_ema,4,6,111,0.2882882882882883,779.5160451460627,86526.28101121295,8.652628101121294,cand_002_AVAX_USDT__4h_ema15_dist0.004
5,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,30,0.008,close_above_ema,4,6,109,0.26605504587155965,778.6488133821596,84872.7206586554,8.48727206586554,cand_002_AVAX_USDT__4h_ema30_dist0.008
6,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,20,0.004,close_above_ema,4,6,113,0.2831858407079646,766.2132246905911,86582.0943900368,8.65820943900368,cand_002_AVAX_USDT__4h_ema20_dist0.004
7,2,8,cand_008_AVAX_USDT,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,15,0.008,close_above_ema,4,6,108,0.26851851851851855,758.7959753440292,81949.96533715515,8.194996533715516,cand_008_AVAX_USDT__4h_ema15_dist0.008
8,2,8,cand_008_AVAX_USDT,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,30,0.008,close_above_ema,4,6,111,0.26126126126126126,752.0033501565104,83472.37186737265,8.347237186737265,cand_008_AVAX_USDT__4h_ema30_dist0.008
9,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,25,0.004,close_above_ema,4,6,116,0.2672413793103448,744.0124642935814,86305.44585805543,8.630544585805543,cand_002_AVAX_USDT__4h_ema25_dist0.004
10,1,2,cand_002_AVAX_USDT,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,15,0.0,close_above_ema,4,6,117,0.28205128205128205,741.2051088955084,86720.99774077447,8.672099774077447,cand_002_AVAX_USDT__4h_ema15_dist0.000
