symbol,sma,ema,fib_min,fib_max,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
SOL/USDT,55,20,0.236,0.382,0.003,0.04,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,55,20,0.236,0.382,0.003,0.05,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,55,20,0.236,0.382,0.005,0.05,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,55,20,0.236,0.382,0.005,0.06,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,55,20,0.236,0.382,0.003,0.06,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,55,20,0.236,0.382,0.005,0.04,8,1.49260908203125,15,0.4,995.0727213541668
SOL/USDT,60,20,0.236,0.382,0.003,0.04,8,1.48982255859375,15,0.4,993.2150390625
SOL/USDT,60,20,0.236,0.382,0.003,0.05,8,1.48982255859375,15,0.4,993.2150390625
SOL/USDT,60,20,0.236,0.382,0.005,0.06,8,1.48982255859375,15,0.4,993.2150390625
SOL/USDT,60,20,0.236,0.382,0.005,0.05,8,1.48982255859375,15,0.4,993.2150390625
SOL/USDT,60,20,0.236,0.382,0.005,0.04,8,1.48982255859375,15,0.4,993.2150390625
SOL/USDT,60,20,0.236,0.382,0.003,0.06,8,1.48982255859375,15,0.4,993.2150390625
ETH/USDT,30,20,0.236,0.618,0.03,0.06,21,1.20932548828125,15,0.4,806.2169921875
ETH/USDT,30,20,0.236,0.7,0.03,0.06,21,1.20932548828125,15,0.4,806.2169921875
ETH/USDT,30,20,0.382,0.618,0.01,0.06,18,1.32080205078125,17,0.4117647058823529,776.9423828125
ETH/USDT,30,20,0.382,0.786,0.01,0.06,18,1.32080205078125,17,0.4117647058823529,776.9423828125
ETH/USDT,30,20,0.382,0.7,0.01,0.06,18,1.32080205078125,17,0.4117647058823529,776.9423828125
ETH/USDT,30,20,0.382,0.7,0.003,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.786,0.005,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.786,0.003,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.618,0.003,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.618,0.005,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.7,0.005,0.06,18,1.31980205078125,18,0.3888888888888889,733.2233615451389
ETH/USDT,30,20,0.382,0.7,0.003,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.382,0.7,0.005,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.382,0.618,0.003,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.382,0.786,0.003,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.382,0.786,0.005,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.382,0.618,0.005,0.04,18,1.07228916015625,15,0.4,714.8594401041667
ETH/USDT,30,20,0.236,0.786,0.01,0.06,18,1.33298486328125,21,0.3809523809523809,634.7546968005952
ETH/USDT,30,20,0.236,0.618,0.01,0.06,18,1.33298486328125,21,0.3809523809523809,634.7546968005952
ETH/USDT,30,20,0.236,0.7,0.01,0.06,18,1.33298486328125,21,0.3809523809523809,634.7546968005952
