backtrader_rank,symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
1,AVAX/USDT,75,20,0.236,0.486,0.002,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
2,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,3.5558405677445872,12,0.5,2963.2004731204893
3,AVAX/USDT,55,20,0.236,0.536,0.002,0.068,21,3.7883293635658672,13,0.3846153846153846,2914.0995104352824
4,AVAX/USDT,40,20,0.236,0.486,0.002,0.068,21,3.762212549168626,13,0.4615384615384615,2894.0096532066354
5,AVAX/USDT,65,20,0.236,0.536,0.002,0.068,21,3.749923352263328,13,0.3846153846153846,2884.5564248179444
6,AVAX/USDT,45,20,0.236,0.536,0.002,0.068,21,3.7459608124050137,13,0.3846153846153846,2881.508317234626
7,AVAX/USDT,50,20,0.236,0.536,0.002,0.068,21,3.721198565928058,13,0.3846153846153846,2862.4604353292752
8,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,3.537574938716292,13,0.4615384615384615,2721.2114913202245
9,AVAX/USDT,60,20,0.236,0.536,0.002,0.068,21,3.748923352263328,14,0.3571428571428571,2677.8023944738056
10,AVAX/USDT,90,20,0.236,0.536,0.002,0.068,21,3.7286435814803167,14,0.3571428571428571,2663.316843914512
11,AVAX/USDT,70,20,0.236,0.536,0.002,0.068,21,3.699131950940949,14,0.3571428571428571,2642.237107814964
12,AVAX/USDT,75,20,0.236,0.536,0.002,0.068,21,3.76417508902694,15,0.4,2509.450059351293
13,AVAX/USDT,40,20,0.236,0.536,0.002,0.068,21,3.836377970668661,16,0.4375,2397.736231667913
14,AVAX/USDT,35,20,0.236,0.486,0.002,0.068,21,3.681051963610073,16,0.4375,2300.657477256296
15,AVAX/USDT,30,20,0.236,0.486,0.002,0.068,21,3.6637863345817774,16,0.4375,2289.8664591136107
16,BNB/USDT,45,20,0.236,0.736,0.026,0.018,21,0.0516132479902097,14,0.3571428571428571,36.86660570729265
17,DOGE/USDT,75,20,0.236,0.436,0.002,0.043,8,0.0981650818503658,13,0.3846153846153846,75.51160142335836
18,ETH/USDT,30,20,0.236,0.536,0.038,0.053,21,1.1703904500410698,13,0.3846153846153846,900.3003461854382
19,ETH/USDT,30,20,0.236,0.436,0.017,0.053,25,1.0250277402908154,12,0.4166666666666667,854.1897835756795
20,ETH/USDT,30,20,0.236,0.536,0.035,0.053,21,1.1398756973306765,14,0.3571428571428571,814.1969266647687
21,ETH/USDT,30,20,0.236,0.536,0.032,0.053,21,1.2093254435955612,15,0.4,806.2169623970408
