symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy,trades_recent,win_rate_recent,expectancy_recent
BTC/USDT,40,15,0.5,0.618,0.01,0.005,0.0049490304491175,,4,0.25,7.413471221923828,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.01,0.01,0.0049490304491175,,7,0.1428571428571428,-0.0494450160435267,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.01,0.015,0.0049490304491175,,7,0.1428571428571428,-0.0494450160435267,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.01,0.02,0.0049490304491175,,8,0.125,-1.293264389038086,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.02,0.005,-0.0015878748047358,,2,0.0,-12.944816589355469,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.02,0.01,-0.0015878748047358,,3,0.0,-11.963211059570312,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.02,0.015,-0.0015878748047358,,3,0.0,-11.963211059570312,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.02,0.02,-0.0015878748047358,,4,0.0,-11.472408294677734,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.03,0.005,-0.0015878748047358,,1,0.0,-15.88963222503662,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.03,0.01,-0.0015878748047358,,2,0.0,-12.944816589355469,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.03,0.015,-0.0015878748047358,,2,0.0,-12.944816589355469,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.03,0.02,-0.0015878748047358,,2,0.0,-12.944816589355469,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.04,0.005,0.0,,0,0.0,0.0,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.04,0.01,0.0,,0,0.0,0.0,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.04,0.015,0.0,,0,0.0,0.0,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.04,0.02,0.0,,0,0.0,0.0,0,0.0,0.0
BTC/USDT,40,15,0.5,0.618,0.05,0.005,0.0,,0,0.0,0.0,0,0.0,0.0
