backtrader_rank,symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
1,ADA/USDT,short,50,20,0.236,0.336,0.053,0.038,25,0.8593131855658834,15,0.4666666666666667,572.8754570439222
2,ADA/USDT,short,65,20,0.236,0.386,0.053,0.033,25,0.8480942855688791,15,0.4666666666666667,565.3961903792527
3,ADA/USDT,short,50,20,0.236,0.386,0.053,0.033,25,1.0487006235918446,19,0.4210526315789473,551.9476966272865
4,ADA/USDT,short,60,20,0.236,0.336,0.053,0.038,25,0.6577068475429182,12,0.5,548.0890396190986
5,ADA/USDT,short,60,20,0.236,0.386,0.053,0.033,25,0.8470942855688791,16,0.4375,529.4339284805494
6,ADA/USDT,short,50,20,0.236,0.386,0.05,0.033,25,1.0477006235918445,20,0.4,523.8503117959223
7,ADA/USDT,short,40,20,0.236,0.336,0.053,0.038,25,0.8280120442062333,16,0.4375,517.5075276288958
8,ADA/USDT,short,50,20,0.236,0.336,0.05,0.033,25,0.7181984299679997,14,0.4285714285714285,512.9988785485712
9,ADA/USDT,short,65,20,0.236,0.386,0.053,0.043,25,0.8711521287697153,17,0.4705882352941176,512.4424286880678
10,ADA/USDT,short,50,20,0.236,0.336,0.053,0.043,25,0.8703783257237603,17,0.4705882352941176,511.98725042574137
11,ADA/USDT,short,40,20,0.236,0.386,0.053,0.033,25,1.017399482232194,20,0.4,508.699741116097
12,ADA/USDT,short,50,20,0.236,0.386,0.053,0.028,25,0.858115854263857,17,0.3529411764705882,504.7740319199159
13,ADA/USDT,short,60,20,0.236,0.386,0.05,0.033,25,0.8460942855688791,17,0.4117647058823529,497.70252092287
14,ADA/USDT,short,40,20,0.236,0.386,0.05,0.033,25,1.0422891403498251,21,0.3809523809523809,496.3281620713453
15,ADA/USDT,short,90,20,0.236,0.386,0.041,0.033,25,0.6921375228831379,14,0.4285714285714285,494.3839449165271
16,AVAX/USDT,short,30,20,0.236,0.286,0.002,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
17,AVAX/USDT,short,40,20,0.236,0.336,0.038,0.053,10,1.3940278009372975,13,0.5384615384615384,1072.3290776440751
18,AVAX/USDT,short,30,20,0.236,0.336,0.038,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
19,AVAX/USDT,short,40,20,0.236,0.336,0.041,0.053,8,1.2798937067709324,12,0.5,1066.578088975777
20,AVAX/USDT,short,30,20,0.236,0.336,0.041,0.053,8,1.2777428528663863,12,0.5,1064.7857107219886
21,AVAX/USDT,short,40,20,0.236,0.336,0.047,0.053,10,1.2775045128815652,12,0.5,1064.5870940679708
22,AVAX/USDT,short,30,20,0.236,0.336,0.047,0.053,10,1.275353658977019,12,0.5,1062.7947158141824
