symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,30,20,0.236,0.286,0.002,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,30,20,0.236,0.286,0.005,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,35,20,0.236,0.286,0.002,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,35,20,0.236,0.286,0.005,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,40,20,0.236,0.286,0.002,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,40,20,0.236,0.286,0.005,0.053,12,1.4500656424379113,12,0.6666666666666666,1208.388035364926
AVAX/USDT,short,40,20,0.236,0.336,0.038,0.053,10,1.3940278009372975,13,0.5384615384615384,1072.3290776440751
AVAX/USDT,short,40,20,0.236,0.336,0.041,0.053,10,1.3940278009372975,13,0.5384615384615384,1072.3290776440751
AVAX/USDT,short,40,20,0.236,0.336,0.044,0.053,10,1.3940278009372975,13,0.5384615384615384,1072.3290776440751
AVAX/USDT,short,30,20,0.236,0.336,0.038,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,30,20,0.236,0.336,0.041,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,30,20,0.236,0.336,0.044,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,35,20,0.236,0.336,0.038,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,35,20,0.236,0.336,0.041,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,35,20,0.236,0.336,0.044,0.053,10,1.3918769470327514,13,0.5384615384615384,1070.674574640578
AVAX/USDT,short,40,20,0.236,0.336,0.041,0.053,8,1.2798937067709324,12,0.5,1066.578088975777
AVAX/USDT,short,30,20,0.236,0.336,0.041,0.053,8,1.2777428528663863,12,0.5,1064.7857107219886
AVAX/USDT,short,35,20,0.236,0.336,0.041,0.053,8,1.2777428528663863,12,0.5,1064.7857107219886
AVAX/USDT,short,40,20,0.236,0.336,0.047,0.053,10,1.2775045128815652,12,0.5,1064.5870940679708
AVAX/USDT,short,40,20,0.236,0.336,0.05,0.053,10,1.2775045128815652,12,0.5,1064.5870940679708
AVAX/USDT,short,30,20,0.236,0.336,0.047,0.053,10,1.275353658977019,12,0.5,1062.7947158141824
AVAX/USDT,short,30,20,0.236,0.336,0.05,0.053,10,1.275353658977019,12,0.5,1062.7947158141824
AVAX/USDT,short,35,20,0.236,0.336,0.047,0.053,10,1.275353658977019,12,0.5,1062.7947158141824
